0 1 2207.51
0 2 2234.61
0 3 2261.03
0 4 2306.74
0 5 2351.42
0 6 2411.9
0 7 2474.23
0 8 2547.66
0 9 2616.28
0 10 2715.92
0 11 2811.36
0 12 2928.7
0 13 3026.7
0 14 3165.49
0 15 3249.76
0 16 3383.7
0 17 3505.62
0 18 3633.56
0 19 3729.75
0 20 5140.97
3 1 2184.66
3 2 2213.37
3 3 2249.66
3 4 2289.68
3 5 2338.7
3 6 2386.88
3 7 2457.95
3 8 2525.38
3 9 2612.17
3 10 2697.23
3 11 2796.65
3 12 2892.8
3 13 3001.72
3 14 3122.97
3 15 3253.94
3 16 3375.42
3 17 3506.54
3 18 3599.84
3 19 3703.78
3 20 3798.43
6 1 2140.49
6 2 2167.6
6 3 2201.78
6 4 2234.54
6 5 2286.13
6 6 2336.92
6 7 2408.07
6 8 2481.87
6 9 2558.58
6 10 2647.11
6 11 2745.09
6 12 2863.38
6 13 2954.69
6 14 3090.12
6 15 3210.29
6 16 3316.45
6 17 3423.74
6 18 3539.72
6 19 3687.55
6 20 4170.51
9 1 2073.26
9 2 2093.7
9 3 2121.91
9 4 2168.95
9 5 2220.54
9 6 2266.16
9 7 2318.66
9 8 2397.57
9 9 2471.87
9 10 2560.25
9 11 2659.83
9 12 2743.92
9 13 2850.86
9 14 2982.79
9 15 3095.54
9 16 3196.95
9 17 3324.93
9 18 3473.91
9 19 3559.62
9 20 3690.19
12 1 1995.34
12 2 2021.94
12 3 2039.76
12 4 2079.95
12 5 2122.63
12 6 2177.77
12 7 2225.34
12 8 2277.65
12 9 2348.51
12 10 2405.44
12 11 2490.26
12 12 2576.09
12 13 2686.46
12 14 2769.11
12 15 2855.35
12 16 2988.8
12 17 3136.87
12 18 3276.57
12 19 3382.36
12 20 4133.56
15 1 1886.04
15 2 1911.75
15 3 1938.57
15 4 1977.39
15 5 2004.31
15 6 2042.36
15 7 2083.05
15 8 2123.56
15 9 2165.48
15 10 2218.3
15 11 2282.37
15 12 2347.17
15 13 2388.77
15 14 2459.17
15 15 2541.91
15 16 2611.52
15 17 2693.99
15 18 2806.39
15 19 2955.41
15 20 3284.02
16 1 1773.53
16 2 1797.98
16 3 1833.57
16 4 1878.27
16 5 1915.3
16 6 1952.98
16 7 1993.79
16 8 2053.17
16 9 2113.18
16 10 2159.37
16 11 2220.72
16 12 2260.65
16 13 2312.95
16 14 2342.66
16 15 2375.36
16 16 2419.89
16 17 2442.78
16 18 2481
16 19 2527.79
16 20 3838.11
17 1 1376.25
17 2 1594.33
17 3 1682.75
17 4 1747.83
17 5 1801.74
17 6 1848.92
17 7 1914.59
17 8 1947.82
17 9 2016.77
17 10 2072.51
17 11 2117.5
17 12 2155.58
17 13 2208.43
17 14 2213.76
17 15 2237.19
17 16 2222.84
17 17 2195.84
17 18 2061.14
17 19 1852.31
17 20 1860.68
18 1 807.456
18 2 1284.78
18 3 1467.57
18 4 1565.02
18 5 1662.57
18 6 1732.33
18 7 1774.97
18 8 1838.36
18 9 1873.6
18 10 1934.79
18 11 1961.58
18 12 2014.67
18 13 2040.8
18 14 2043.07
18 15 2044.84
18 16 2014.79
18 17 1905.59
18 18 1702.03
18 19 574.417
18 20 254.84
19 1 116.45
19 2 68.7048
19 3 124.713
19 4 172.542
19 5 86.2164
19 6 204.302
19 7 20.4927
19 8 106.19
19 9 138.458
19 10 134.296
19 11 309.675
19 12 52.7667
19 13 117.142
19 14 85.2578
19 15 64.9509
19 16 55.0678
19 17 97.9575
19 18 29.3041
19 19 162.691
19 20 122.541
20 1 73.2762
20 2 0
20 3 12.3854
20 4 303.814
20 5 182.474
20 6 66.6368
20 7 293.946
20 8 39.3924
20 9 51.4452
20 10 11.2519
20 11 142.699
20 12 251.064
20 13 0
20 14 0
20 15 0
20 16 0
20 17 217.091
20 18 275.466
20 19 374.729
20 20 226.903 
